Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,1,1,1,0.541621,0.512,0,1,1,20150427
1,1,1,0.107737,0.90673,0.064,0,1,2,20150427
1,1,1,0.163258,1.4485,0.064,1,1,2,20150427
1,0,0,0.070089,1.088506,0,1,1,2,20150427
1,1,0,0.373936,1.474866,0.032,1,0,2,20150427
1,0,1,0.785403,1.128383,0.128,0,0,2,20150427
1,0,1,0.075222,1.128447,0,0,0,2,20150427
1,0,0,0.122378,1.435378,0.032,0,1,2,20150427
1,1,1,0.212315,0.781574,0,1,1,2,20150427
1,0,1,0.428507,0.674939,0,0,0,2,20150427
1,1,0,0.162117,0.795122,0.256,0,0,2,20150427
1,0,0,0.247872,0.674793,0.064,0,1,2,20150427
1,0,0,0.260991,0.528206,0.128,0,1,2,20150427
1,1,0,0.227907,0.701564,0.032,0,0,2,20150427
1,1,1,1,0.488354,0.512,0,1,2,20150427
1,0,0,0.216308,0.821644,0.512,1,1,2,20150427
1,0,1,1,0.595065,0,1,0,2,20150427
1,0,1,0.116673,0.688242,0.032,0,0,2,20150427
1,1,1,1,0.54162,0.256,1,1,2,20150427
1,0,1,0.403598,0.675335,0.128,1,0,2,20150427
1,0,1,0.455507,1.141757,0,0,0,2,20150427
1,1,1,0.208702,0.555095,0.032,0,1,2,20150427
1,1,1,0.25909,0.661721,0,1,1,2,20150427
1,1,1,0.496387,0.675025,0.256,0,1,2,20150427
1,1,1,0.377168,0.955019,0.032,1,1,2,20150427
1,0,1,0.587656,0.581504,0.032,1,0,2,20150427
1,1,1,0.902911,0.528327,0,0,1,2,20150427
1,1,1,1,0.554879,0.256,0,1,2,20150427
1,1,1,1,0.50158,0,0,1,2,20150427
1,0,1,1,0.448308,0.128,1,0,2,20150427
1,1,1,0.979919,0.408443,0.128,1,1,2,20150427
1,0,0,1,0.488356,0.512,1,1,2,20150427
1,1,0,0.23228,0.875045,0,0,0,2,20150427
1,0,1,0.069898,1.154967,0.128,0,0,2,20150427
1,0,0,0.119145,1.021591,0,1,1,2,20150427
1,1,1,1,0.52822,0.256,1,1,2,20150427
1,1,1,0.992088,0.461601,0.128,0,1,2,20150427
1,1,0,0.555712,0.621789,0.032,1,0,2,20150427
1,1,1,0.985053,0.38163,0.032,0,1,2,20150427
1,1,0,0.132645,0.555529,0.032,0,0,2,20150427
1,1,1,0.989616,0.435387,0.128,0,1,2,20150427
1,1,1,0.989046,0.408396,0.512,1,1,2,20150427
1,1,1,0.126561,0.608371,0.064,0,1,2,20150427
1,0,1,0.176188,0.51496,0.032,1,0,2,20150427
1,1,1,1,0.381719,0.512,0,1,2,20150427
1,1,1,1,0.341608,0.512,1,1,2,20150427
1,1,1,0.995891,0.381834,0.256,0,1,2,20150427
1,0,0,0.24559,0.741613,0.064,0,1,2,20150427
1,1,1,0.377739,0.715003,0.064,1,1,2,20150427
1,0,0,1,0.461674,0.512,0,1,2,20150427
1,0,1,0.977067,0.501787,0.064,1,0,2,20150427
1,0,0,1,0.488262,0.512,0,1,2,20150427
1,0,0,1,0.568316,0.256,0,1,2,20150427
1,0,1,0.115152,0.595153,0.256,1,0,2,20150427
1,0,0,0.084159,0.714869,0.032,0,1,2,20150427
1,0,1,0.185125,1.008243,0.064,0,0,2,20150427
1,0,0,0.218019,0.927519,0.032,1,1,2,20150427
1,0,0,0.877052,0.568367,0.512,0,1,2,20150427
1,0,0,0.187977,0.541569,0.256,0,1,2,20150427
1,0,1,0.195773,0.861789,0.128,0,0,2,20150427
1,1,1,1,0.595066,0.512,0,1,2,20150427
1,1,1,0.172765,0.635187,0,0,1,2,20150427
1,1,1,0.959193,0.768265,0.128,1,1,2,20150427
1,1,1,1,0.501551,0.512,0,1,2,20150427
1,0,1,0.986764,0.63514,0.032,0,0,2,20150427
1,1,1,1,0.461721,0.512,1,1,2,20150427
1,0,1,0.161737,0.541676,0.064,1,0,2,20150427
1,0,0,0.986954,0.448198,0.128,1,1,2,20150427
1,0,0,0.978778,0.448383,0.256,1,1,2,20150427
1,1,1,0.980869,0.381799,0.128,0,1,2,20150427
1,0,0,1,0.395049,0.512,0,1,2,20150427
1,1,1,0.985243,0.434923,0.128,0,1,2,20150427
1,1,1,0.996651,0.421698,0.128,1,1,2,20150427
1,0,0,1,0.461686,0.256,1,1,2,20150427
1,0,0,0.181702,0.661527,0.256,1,1,2,20150427
1,0,0,0.181702,0.595011,0.128,1,1,2,20150427
1,1,0,0.374506,0.568276,0.128,1,0,2,20150427
1,0,0,0.738628,1.528142,0.512,1,1,2,20150427
1,1,0,0.39295,0.874991,0.064,1,0,2,20150427
1,1,1,0.997982,0.474902,0.256,1,1,2,20150427
1,1,0,0.011905,0.661751,0.064,0,0,2,20150427
1,0,0,0.992848,0.541734,0,1,1,2,20150427
1,0,1,0.183413,0.688218,0.064,1,0,2,20150427
1,1,1,1,0.475136,0.512,1,1,2,20150427
1,1,1,1,0.915042,0.032,1,1,2,20150427
1,0,1,0.196153,0.75496,0.064,0,0,2,20150427
